zone_id,zone_name,jahr,monat,niederschlag_mm,temperatur_mittel_c
north_foreststeppe,Северная лесостепь,2007,4,53.2,5.0
north_foreststeppe,Северная лесостепь,2007,5,104.1,10.6
north_foreststeppe,Северная лесостепь,2007,6,91.6,14.7
north_foreststeppe,Северная лесостепь,2007,7,86.8,20.0
north_foreststeppe,Северная лесостепь,2007,8,75.6,16.7
north_foreststeppe,Северная лесостепь,2007,9,24.2,11.9
north_foreststeppe,Северная лесостепь,2007,10,17.4,4.5
north_foreststeppe,Северная лесостепь,2008,3,20.3,-3.7
north_foreststeppe,Северная лесостепь,2008,4,14.9,3.3
north_foreststeppe,Северная лесостепь,2008,5,32.3,11.8
north_foreststeppe,Северная лесостепь,2008,6,57.7,16.7
north_foreststeppe,Северная лесостепь,2008,7,47.3,21.3
north_foreststeppe,Северная лесостепь,2008,8,38.9,16.8
north_foreststeppe,Северная лесостепь,2008,9,41.4,8.6
north_foreststeppe,Северная лесостепь,2008,10,16.0,4.8
north_foreststeppe,Северная лесостепь,2009,3,2.8,-6.0
north_foreststeppe,Северная лесостепь,2009,4,29.8,3.7
north_foreststeppe,Северная лесостепь,2009,5,60.2,11.1
north_foreststeppe,Северная лесостепь,2009,6,60.2,15.7
north_foreststeppe,Северная лесостепь,2009,7,85.7,17.8
north_foreststeppe,Северная лесостепь,2009,8,76.3,16.4
north_foreststeppe,Северная лесостепь,2009,9,21.8,11.0
north_foreststeppe,Северная лесостепь,2009,10,15.5,3.7
north_foreststeppe,Северная лесостепь,2010,3,18.7,-8.5
north_foreststeppe,Северная лесостепь,2010,4,12.7,3.9
north_foreststeppe,Северная лесостепь,2010,5,33.8,9.9
north_foreststeppe,Северная лесостепь,2010,6,42.1,17.2
north_foreststeppe,Северная лесостепь,2010,7,36.1,17.4
north_foreststeppe,Северная лесостепь,2010,8,42.3,18.3
north_foreststeppe,Северная лесостепь,2010,9,27.4,10.3
north_foreststeppe,Северная лесостепь,2010,10,17.7,3.9
north_foreststeppe,Северная лесостепь,2011,3,20.8,-8.1
north_foreststeppe,Северная лесостепь,2011,4,46.3,4.8
north_foreststeppe,Северная лесостепь,2011,5,54.7,10.2
north_foreststeppe,Северная лесостепь,2011,6,78.7,18.7
north_foreststeppe,Северная лесостепь,2011,7,31.6,17.1
north_foreststeppe,Северная лесостепь,2011,8,71.2,14.9
north_foreststeppe,Северная лесостепь,2011,9,5.6,12.7
north_foreststeppe,Северная лесостепь,2011,10,29.4,5.8
north_foreststeppe,Северная лесостепь,2012,3,22.7,-5.7
north_foreststeppe,Северная лесостепь,2012,4,24.4,7.0
north_foreststeppe,Северная лесостепь,2012,5,52.6,10.8
north_foreststeppe,Северная лесостепь,2012,6,87.6,20.7
north_foreststeppe,Северная лесостепь,2012,7,46.4,22.4
north_foreststeppe,Северная лесостепь,2012,8,29.7,17.3
north_foreststeppe,Северная лесостепь,2012,9,38.8,12.0
north_foreststeppe,Северная лесостепь,2012,10,39.1,3.9
north_foreststeppe,Северная лесостепь,2013,3,51.3,-8.9
north_foreststeppe,Северная лесостепь,2013,4,32.6,3.4
north_foreststeppe,Северная лесостепь,2013,5,53.6,8.4
north_foreststeppe,Северная лесостепь,2013,6,21.6,15.1
north_foreststeppe,Северная лесостепь,2013,7,83.7,19.1
north_foreststeppe,Северная лесостепь,2013,8,44.8,17.1
north_foreststeppe,Северная лесостепь,2013,9,16.8,10.2
north_foreststeppe,Северная лесостепь,2013,10,30.8,1.6
north_foreststeppe,Северная лесостепь,2014,3,21.7,-3.1
north_foreststeppe,Северная лесостепь,2014,4,26.5,3.6
north_foreststeppe,Северная лесостепь,2014,5,28.9,11.2
north_foreststeppe,Северная лесостепь,2014,6,21.4,16.9
north_foreststeppe,Северная лесостепь,2014,7,119.2,15.8
north_foreststeppe,Северная лесостепь,2014,8,43.5,18.5
north_foreststeppe,Северная лесостепь,2014,9,35.7,8.2
north_foreststeppe,Северная лесостепь,2014,10,57.2,-1.2
north_foreststeppe,Северная лесостепь,2015,3,14.0,-6.5
north_foreststeppe,Северная лесостепь,2015,4,33.8,3.9
north_foreststeppe,Северная лесостепь,2015,5,29.0,12.4
north_foreststeppe,Северная лесостепь,2015,6,62.9,19.4
north_foreststeppe,Северная лесостепь,2015,7,65.9,18.0
north_foreststeppe,Северная лесостепь,2015,8,87.9,14.5
north_foreststeppe,Северная лесостепь,2015,9,43.2,9.6
north_foreststeppe,Северная лесостепь,2015,10,51.7,1.1
north_foreststeppe,Северная лесостепь,2016,3,31.4,-4.6
north_foreststeppe,Северная лесостепь,2016,4,27.6,6.6
north_foreststeppe,Северная лесостепь,2016,5,27.1,11.4
north_foreststeppe,Северная лесостепь,2016,6,73.8,18.1
north_foreststeppe,Северная лесостепь,2016,7,79.8,19.7
north_foreststeppe,Северная лесостепь,2016,8,35.9,19.5
north_foreststeppe,Северная лесостепь,2016,9,26.3,13.3
north_foreststeppe,Северная лесостепь,2016,10,19.3,-2.0
north_foreststeppe,Северная лесостепь,2017,3,26.9,-5.9
north_foreststeppe,Северная лесостепь,2017,4,36.2,3.6
north_foreststeppe,Северная лесостепь,2017,5,49.6,11.1
north_foreststeppe,Северная лесостепь,2017,6,27.9,19.2
north_foreststeppe,Северная лесостепь,2017,7,92.7,18.1
north_foreststeppe,Северная лесостепь,2017,8,24.9,17.7
north_foreststeppe,Северная лесостепь,2017,9,47.0,8.8
north_foreststeppe,Северная лесостепь,2017,10,39.0,0.9
north_foreststeppe,Северная лесостепь,2018,3,28.4,-9.5
north_foreststeppe,Северная лесостепь,2018,4,38.5,1.1
north_foreststeppe,Северная лесостепь,2018,5,100.9,6.0
north_foreststeppe,Северная лесостепь,2018,6,71.9,16.0
north_foreststeppe,Северная лесостепь,2018,7,38.4,19.6
north_foreststeppe,Северная лесостепь,2018,8,147.0,15.5
north_foreststeppe,Северная лесостепь,2018,9,40.3,11.0
north_foreststeppe,Северная лесостепь,2018,10,48.3,4.3
north_foreststeppe,Северная лесостепь,2019,3,24.6,-3.7
north_foreststeppe,Северная лесостепь,2019,4,23.2,2.7
north_foreststeppe,Северная лесостепь,2019,5,33.2,10.8
